label,Z_true,A_true,sign,R_true,beta_true,R_tracker,Z_trk,beta_tof,Z_tof,beta_rich,Z_rich,TRD_e_like,E_ecal,E_over_p,shower_shape
C,6.0,12.0,1.0,12.344100019503422,0.9886415280725387,12.300728019356196,5.8838345168265125,0.9984764218700185,5.850323673457397,0.9886038401992128,5.966568888560365,0.21939464183509796,30.030738327664846,0.34898189404537716,0.1164644930255753
p,1.0,1.0,1.0,135.03847433300308,0.9999758622479222,137.27372925725047,1.007059995479201,0.9614767334169131,1.2176414230170625,0.9992698640498353,1.0501141739683235,0.021454162426232548,65.18134823816482,0.49989926208954605,0.22317333396828815
e+,1.0,0.0,1.0,7.917812737610481,0.9999999979174301,7.828217321482226,1.2915110561154741,0.9850692238087656,1.318569564193064,0.999999,0.8502003914399389,0.8588823084508291,7.3990953788077904,0.9742176038924534,0.9010820405207942
Fe,26.0,56.0,1.0,17.698887038613226,0.9935442959940665,17.665897140604407,26.00377807298257,0.992956368335574,26.026166119281843,0.9933063714490734,25.98050123269484,0.22768629141373867,151.08672617551503,0.375778011635882,0.14032725601998255
Si,14.0,28.0,1.0,1.1309746583591398,0.5161888942503399,1.1255657533524108,13.931376929216931,0.5307748968632893,13.957993952657294,0.5157544593504327,13.990226171981357,0.10039625759466413,3.921268507617979,0.2959608712520697,0.36253890275612205
O,8.0,16.0,1.0,3.591748509957608,0.8863227563885191,3.5859492369727977,8.195019544020901,0.8913078340777357,7.936792745411135,0.8852686363229697,8.010622778324418,0.14061905187577273,16.47282053479956,0.5504041743098774,0.11884987146829745
He,2.0,4.0,1.0,14.077643290243033,0.9912322811307558,14.381583992028087,2.1186642047732542,0.9648656123996707,2.0220180981000815,0.9922542061618291,1.8065842066200108,0.29937921332888173,12.693782460652077,0.47536564887036126,0.2691741059098999
Si,14.0,28.0,1.0,9.734024287545152,0.981919984057631,9.740069233412004,13.940237156570568,0.999999,14.167724795646722,0.9827805646789274,13.915055721059348,0.2092135632302799,75.9462464501457,0.5277811886908678,0.11533328575385203
C,6.0,12.0,1.0,58.9232625351039,0.9994932616131684,56.33102591931751,6.1501938642961855,0.9688298119555696,6.035783359527426,0.9999765403994173,5.955945942926396,0.2530963460878595,32.087754111166106,0.1215004776556971,0.19632384073238024
He,2.0,4.0,1.0,32.786941646803875,0.9983661191817095,32.24245976840343,1.9127040294200144,0.9872691516019225,2.3145305734191988,0.9971226075653875,1.8021730828944043,0.13658756956068382,36.184556565458536,0.4703999774598115,0.2603834388713192
He,2.0,4.0,1.0,151.5537007695213,0.9999233513416415,131.01133148078867,2.298511981551342,0.983554756718589,1.931081840969296,0.9999479262566925,1.723755846619133,0.12004956272041617,176.22161009088938,0.6285686533478103,0.275771019473377
e+,1.0,0.0,1.0,131.02997950359799,0.9999999999923955,132.5892895517894,1.1153832045465777,0.9948243694821265,1.1723712358072356,0.9987993324640668,0.8298380751885015,0.8760265500945102,131.79259926564532,0.855142767637598,0.9054619889361273
e-,1.0,0.0,-1.0,3.9585013248028345,0.999999991668016,3.9484879289257795,1.1991376202346353,0.999999,1.3723302211366541,0.999999,1.0595008321301032,0.7193559270383333,3.7472840632086437,1.0,0.7926852161266599
C,6.0,12.0,1.0,1.1058424841226615,0.5076997422387146,1.1024808514010507,6.118200997058764,0.5227035339348911,6.126575443075668,0.5077749973724791,6.041842575303559,0.24025221932780721,2.162453633670585,0.3261059363910157,0.2705941031374513
Fe,26.0,56.0,1.0,130.8060120095154,0.9998806770992574,127.85107681023393,25.982497252061858,0.9888321896354073,25.980717015680984,0.9998782910931888,26.023475559561653,0.2562890684767818,1314.877421151405,0.5523294086606001,0.2140589909506109
e-,1.0,0.0,-1.0,6.535401716508048,0.9999999969432112,6.729649117375508,0.8230117088277588,0.9864875238039242,1.442461944799393,0.9983481807684835,1.0669212226145206,0.7547805738282837,5.989333405584462,0.9848386636791355,0.8539764987997096
Si,14.0,28.0,1.0,7.241571757036334,0.9680261301588403,7.230363056191395,14.068549410111174,0.9665338305021953,14.327261569651547,0.9680628564616799,13.942435800792028,0.15276878565203134,12.804723110374125,0.1017889515363316,0.3293133970877512
Si,14.0,28.0,1.0,2.4681020983309025,0.7960399628453676,2.4907041051383727,13.943866435745177,0.7785910188302292,14.068906021086395,0.7958311208126617,13.958596505533569,0.12797872772756708,30.563860726517973,0.7864296839711398,0.14430434182872062
p,1.0,1.0,1.0,52.07904702594701,0.9998377458454932,52.88696009747507,0.7878343119138143,0.999999,0.6495985485335506,0.999999,0.8360568889658416,0.18438059219206795,21.841335716069654,0.36104447029272113,0.08901214116520123
O,8.0,16.0,1.0,4.941556386330859,0.9348619094569243,4.9113479494488494,7.838283586832336,0.9433481261286246,7.912452085405405,0.9349454885688947,8.054483195735674,0.21737067186789194,28.4491770807478,0.6099847536766223,0.044221256451088514
e+,1.0,0.0,1.0,2.740400841874599,0.9999999826147146,2.73146774771888,0.6433384693649724,0.9509083707746031,0.8920643508886892,0.9988206753502851,0.8612731849436573,0.7959560295093012,2.7580551394345623,1.0,0.7778676644665324
Si,14.0,28.0,1.0,17.65874780197121,0.9944010265283532,17.49651735598763,13.934056331093075,0.9740823366535136,14.153621684661589,0.994406347137071,13.990855435021178,0.12978395500676548,147.31593686023925,0.462102734871762,0.12343712546777615
O,8.0,16.0,1.0,72.25554654955816,0.9996629257513312,72.89763356710816,8.012326591109728,0.999999,8.16183299159033,0.9996512207996235,7.969677881208645,0.16577162573828574,353.5021797191855,0.5924413519582511,0.34195545584982656
p,1.0,1.0,1.0,4.65402183138208,0.9802770236538882,4.666436016628483,1.2481847539009856,0.9255939077645617,1.0308731034769592,0.9794003805077717,1.0104478066272051,0.21771416654468617,2.7987982181822177,0.6741006106936216,0.03385887435786816
e-,1.0,0.0,-1.0,61.45796221415983,0.9999999999654337,59.73548516844774,0.8482862322386242,0.9725957526922543,1.7481040729122976,0.999999,0.8604302435694607,0.8942968611837248,58.15512693894093,0.973915139212829,0.8624899708299517
Fe,26.0,56.0,1.0,13.943389629421567,0.9896594644561297,13.62739042627852,25.97194341425793,0.999999,25.898069869117563,0.9899822103696242,26.019766695880485,0.15343917594483605,144.08550476799593,0.5850106980689311,0.22503385762327435
He,2.0,4.0,1.0,10.004467893419905,0.9828596138284511,9.949824227435558,1.9336661951505894,0.999999,1.9008008811516188,0.9826359601475221,1.8521991848192707,0.18139064557391874,4.4242374447543185,0.23600008092637054,0.33032503680151803
Fe,26.0,56.0,1.0,7.7727873079805025,0.967823446411239,7.655000592144939,26.06008554425253,0.9417027189926139,26.017527342625748,0.9673859255569717,26.010343814217787,0.2633163306018842,55.755354156110656,0.33332202347769513,0.05842480572955555
O,8.0,16.0,1.0,2.294149435856138,0.7740378542021282,2.2927772758647658,8.170412674351027,0.7953970430474397,8.144839338515412,0.7734704463109463,8.069807371713637,0.26541373721517036,10.617863183448907,0.5049004687198839,0.12421357324433535
Si,14.0,28.0,1.0,6.6676711753210185,0.962603453035284,6.611925992847708,14.043912280395057,0.9549893354973443,13.907813275448405,0.962440989317393,14.094670032468631,0.10842309906694779,57.0438061164903,0.6284736137384964,0.30083169830041995
Si,14.0,28.0,1.0,150.66509673474079,0.9999224446523683,145.44683294380818,13.916591673691315,0.999999,13.888717410060345,0.998804615720408,14.014814334942557,0.05577633118117914,828.3938250146683,0.4302486323768434,0.03874373876028864
e+,1.0,0.0,1.0,1.7909351494486063,0.9999999592947644,1.7922561133910477,1.0678850598559242,0.999999,1.0004888075398344,0.999999,0.9568331269715087,0.83676419202616,1.79077464599604,0.9321382594291481,0.8149946752756292
p,1.0,1.0,1.0,236.49683651874585,0.9999921300532527,216.6148686805011,1.3489437201783097,0.999999,0.5710180255257891,0.999999,1.2358170371599695,0.09964144925310521,169.3602795156672,0.6950924225484139,0.2308279425826404
He,2.0,4.0,1.0,1.846213545614477,0.7013224571531221,1.8697680720219474,2.0360116399346193,0.7091282269135595,2.022841590178519,0.6994622793692029,2.052378064681496,0.21466694554784588,1.540484606533707,0.3815940426296286,0.0
He,2.0,4.0,1.0,7.884901565875506,0.9728288212000659,7.798342172487072,1.8008158059532406,0.9483914273413493,1.5151659925082213,0.9733185387572781,2.2998725712520067,0.147850868802924,9.81680567632205,0.5977815574231844,0.188766529397459
e-,1.0,0.0,-1.0,31.76098114572469,0.9999999998705738,31.716305545251412,1.1955781195914474,0.9758368026512995,1.034845414311115,0.999999,1.1262094828519,0.8954589910786487,30.976756201551844,1.0,0.8211301326235916
C,6.0,12.0,1.0,118.96925691011819,0.999875623865315,109.42654191465458,6.0513556170616996,0.999999,6.042014460394881,0.9998858031583459,6.04402302835792,0.002655547793574131,190.4979681626437,0.3587073765211962,0.1911379343624062
e+,1.0,0.0,1.0,2.26815145195125,0.9999999746215028,2.2720806010605124,0.5373119025097248,0.999999,1.0790491713476071,0.9997136888418146,1.137058413501203,0.7778444275762801,2.1316078626040165,1.0,0.8726838565663917
O,8.0,16.0,1.0,2.236285862757565,0.7660313675840753,2.2741016942207293,8.110108865280662,0.7746055431687456,8.018606954334253,0.7664292905691911,8.080195691252793,0.3296923196690627,6.224341321012592,0.3525285379749507,0.3254981149077556
O,8.0,16.0,1.0,36.022081841645246,0.9986458489268709,34.71161731935454,8.074075216015618,0.999999,8.120405964727913,0.9985561746636133,8.024662159510452,0.21396840132411038,181.94663683460524,0.5531326276300685,0.3476094555688724
Fe,26.0,56.0,1.0,5.310909554359056,0.9346229007641804,5.2744542609959035,26.00129821568821,0.9245274195963475,26.011066801234133,0.934073131745094,26.068069071441077,0.13730990489939207,39.17789855615599,0.35763191670829464,0.20992979076987484
O,8.0,16.0,1.0,39.492065007881344,0.998872975847141,39.176539953285435,8.014902631209956,0.999999,8.017582510289554,0.9986578511566185,7.928365063475989,0.31308640590074643,116.3878837325021,0.46380467529989094,0.20989039214948182
p,1.0,1.0,1.0,107.81621793946678,0.9999621352809799,110.51687179528233,0.8529820848908152,0.999999,1.1625357309102373,0.999999,0.7618954236688974,0.14450120676541567,31.256850084224595,0.4115131496852328,0.214756027780132
Fe,26.0,56.0,1.0,1.5503065311151893,0.6086675822499426,1.5354403230559022,25.97568755161399,0.6186716954122664,25.867495949825173,0.6090740483981577,26.04384256498751,0.12787352673294536,35.46326772014073,0.8944255622472388,0.22860154245559644
He,2.0,4.0,1.0,123.57036849186417,0.9998847120832621,127.4795287661698,2.0739095506954435,0.999999,1.7315939308293729,0.9994210145343023,2.0454763395356093,0.20920124423937228,177.33588300035854,0.70912173098662,0.14513520595050547
p,1.0,1.0,1.0,1.2390918061535252,0.7972264801970148,1.2305550889093404,1.2734610248018619,0.7909997231316351,0.7942268133203939,0.7973194154381601,0.6988544145795881,0.23585007535728336,0.4431951820728603,0.39423478127370576,0.5321083085043109
Fe,26.0,56.0,1.0,168.46180430473785,0.9999280539121286,165.35606352719313,26.049874236811842,0.999999,26.071105876984223,0.999845762216256,25.95951071318224,0.33695409058832626,2665.5223988021194,0.5429387459886321,0.2270844338945972
p,1.0,1.0,1.0,261.05044330461385,0.9999935408627305,226.56474127246634,0.8858908632413329,0.9791335516624461,1.058419223228656,0.9979263538305431,1.1212782775896328,0.23285588399755716,176.29771111811294,0.6564127078347698,0.2528500536175265
e-,1.0,0.0,-1.0,45.01605871363913,0.9999999999355719,44.53143905023898,1.1121363851911028,0.9978037738228134,0.3456254735903147,0.9990748847086461,1.1426148606888193,0.794144057301559,38.18156410277209,0.9312767096032413,0.8340243767165426
He,2.0,4.0,1.0,274.23301341872684,0.9999765883048727,295.4377485039651,2.113346000807352,0.999999,2.05475363299343,0.9990719686225231,1.8434390945522472,0.18857227635590035,257.8882495557323,0.5787787511393359,0.06598803438064532
Si,14.0,28.0,1.0,108.68596440091827,0.9998509803391369,108.58658777171651,14.009127008614923,0.999999,14.061960228150763,0.999818895805773,14.04981523655238,0.12686741642003088,686.4232862446681,0.39446035294259774,0.3017915247699404
e+,1.0,0.0,1.0,1.287949169388079,0.9999999212931517,1.301190204783638,0.9551270082448021,0.999999,0.696776380178384,0.999999,0.8935647428582996,0.5996300281738681,1.0438975021713182,0.9735362792074255,0.7815372510409424
He,2.0,4.0,1.0,1.0219747619934314,0.4782768184631137,1.0159042857536478,2.1383201523144413,0.4865505790199834,2.1019184443307672,0.4797889838500246,1.9263241272258882,0.11814789549933129,0.8922951052445108,0.5389126540788565,0.24284861494190765
e+,1.0,0.0,1.0,1.1259533054650823,0.9999998970161338,1.1238922529808066,1.134624502039795,0.999999,1.2561569416176814,0.9989916274552987,0.744683880568074,0.6851459637035473,1.1127489398124562,1.0,0.9328528803148673
O,8.0,16.0,1.0,13.165226508604732,0.989993687542657,13.456123306536764,7.985672015500441,0.9797446290296218,7.825407130589511,0.9899535401023931,8.06748992178675,0.27103513687316005,83.87273891203891,0.6424694766817398,0.25993944171796385
He,2.0,4.0,1.0,35.010177757836935,0.9985666099015688,34.255470540975374,2.2094832883804556,0.999999,2.052113264573252,0.9970572359402817,2.0434460540655537,0.24634637478911697,3.0755578558268706,0.06683078635582895,0.2954658984854849
