model,rigidity_bin,accuracy,n_events
tracker_only,0–10,0.752096694622595,4054
tracker_only,10–30,0.7574468085106383,1880
tracker_only,30–100,0.7428829643018527,2213
tracker_only,100–300,0.733405288720993,1853
tracker_only,300–1000,,0
tracker_velocity,0–10,0.8737049827331032,4054
tracker_velocity,10–30,0.7952127659574468,1880
tracker_velocity,30–100,0.7546317216448261,2213
tracker_velocity,100–300,0.744738262277388,1853
tracker_velocity,300–1000,,0
tracker_leptonID,0–10,0.871238283177109,4054
tracker_leptonID,10–30,0.8803191489361702,1880
tracker_leptonID,30–100,0.8748305467690918,2213
tracker_leptonID,100–300,0.8580679978413384,1853
tracker_leptonID,300–1000,,0
full_system,0–10,0.8732116428219043,4054
full_system,10–30,0.8781914893617021,1880
full_system,30–100,0.8707636692272933,2213
full_system,100–300,0.8553696708041014,1853
full_system,300–1000,,0
