model,rigidity_bin,accuracy,n_events
tracker_only,0–10,0.7464613856468836,4027
tracker_only,10–30,0.7488744372186094,1999
tracker_only,30–100,0.7446300715990454,2095
tracker_only,100–300,0.7530601383714742,1879
tracker_only,300–1000,,0
tracker_velocity,0–10,0.8654084926744475,4027
tracker_velocity,10–30,0.7828914457228614,1999
tracker_velocity,30–100,0.7613365155131265,2095
tracker_velocity,100–300,0.7525279403938265,1879
tracker_velocity,300–1000,,0
tracker_leptonID,0–10,0.8726098832878073,4027
tracker_leptonID,10–30,0.8774387193596799,1999
tracker_leptonID,30–100,0.8606205250596659,2095
tracker_leptonID,100–300,0.8775944651410325,1879
tracker_leptonID,300–1000,,0
full_system,0–10,0.8780730072013906,4027
full_system,10–30,0.8829414707353677,1999
full_system,30–100,0.883054892601432,2095
full_system,100–300,0.8786588610963278,1879
full_system,300–1000,,0
